=== 2026-09-23T07:09:44Z import start on 8fdaa2ab94a274e04095d7124d546eb0cd14c961 (dev) ; df: 53G free
2026-09-23 07:14:07 [info     ] imported_batch                 batch=9/9 interval=5m month=11 pair=BTC/USDT rows=8640 year=2025
2026-09-23 07:14:07 [info     ] imported                       batches=9 interval=5m month=11 pair=BTC/USDT rows=8640 year=2025
2026-09-23 07:14:07 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2025-12.zip
2026-09-23 07:14:12 [info     ] imported_batch                 batch=9/9 interval=5m month=12 pair=BTC/USDT rows=8928 year=2025
2026-09-23 07:14:12 [info     ] imported                       batches=9 interval=5m month=12 pair=BTC/USDT rows=8928 year=2025
2026-09-23 07:14:12 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2026-01.zip
2026-09-23 07:14:17 [info     ] imported_batch                 batch=9/9 interval=5m month=1 pair=BTC/USDT rows=8928 year=2026
2026-09-23 07:14:17 [info     ] imported                       batches=9 interval=5m month=1 pair=BTC/USDT rows=8928 year=2026
2026-09-23 07:14:17 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2026-02.zip
2026-09-23 07:14:21 [info     ] imported_batch                 batch=9/9 interval=5m month=2 pair=BTC/USDT rows=8064 year=2026
2026-09-23 07:14:22 [info     ] imported                       batches=9 interval=5m month=2 pair=BTC/USDT rows=8064 year=2026
2026-09-23 07:14:22 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2026-03.zip
2026-09-23 07:14:26 [info     ] imported_batch                 batch=9/9 interval=5m month=3 pair=BTC/USDT rows=8928 year=2026
2026-09-23 07:14:26 [info     ] imported                       batches=9 interval=5m month=3 pair=BTC/USDT rows=8928 year=2026
2026-09-23 07:14:26 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2026-04.zip
2026-09-23 07:14:31 [info     ] imported_batch                 batch=9/9 interval=5m month=4 pair=BTC/USDT rows=8640 year=2026
2026-09-23 07:14:31 [info     ] imported                       batches=9 interval=5m month=4 pair=BTC/USDT rows=8640 year=2026
2026-09-23 07:14:31 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2026-05.zip
2026-09-23 07:14:35 [info     ] imported_batch                 batch=9/9 interval=5m month=5 pair=BTC/USDT rows=8928 year=2026
2026-09-23 07:14:35 [info     ] imported                       batches=9 interval=5m month=5 pair=BTC/USDT rows=8928 year=2026
2026-09-23 07:14:35 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2026-06.zip
2026-09-23 07:14:40 [info     ] imported_batch                 batch=9/9 interval=5m month=6 pair=BTC/USDT rows=8640 year=2026
2026-09-23 07:14:40 [info     ] imported                       batches=9 interval=5m month=6 pair=BTC/USDT rows=8640 year=2026
2026-09-23 07:14:40 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2026-07.zip
2026-09-23 07:14:45 [info     ] imported_batch                 batch=9/9 interval=5m month=7 pair=BTC/USDT rows=8928 year=2026
2026-09-23 07:14:45 [info     ] imported                       batches=9 interval=5m month=7 pair=BTC/USDT rows=8928 year=2026
2026-09-23 07:14:45 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/5m/BTCUSDT-5m-2026-08.zip
2026-09-23 07:14:48 [info     ] imported_batch                 batch=9/9 interval=5m month=8 pair=BTC/USDT rows=8928 year=2026
2026-09-23 07:14:48 [info     ] imported                       batches=9 interval=5m month=8 pair=BTC/USDT rows=8928 year=2026
2026-09-23 07:14:48 [info     ] downloading                    url=https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/15m/BTCUSDT-15m-2021-01.zip
2026-09-23 07:14:51 [info     ] imported_batch                 batch=3/3 interval=15m month=1 pair=BTC/USDT rows=2976 year=2021
